variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper
const,5.634099715002408,0.016497648814426075,341.50925252304864,0.0,5.601764480729133,5.666434949275684
log_price,0.8708515026151041,0.00811593488787051,107.30144027111601,0.0,0.8549443476684877,0.8867586575617206
log_required_age,-0.022099777049673332,0.026831892320862586,-0.8236384070641974,0.4101472382551429,-0.07469002999721518,0.030490475897868515
log_metacritic_score,-0.13056960457078254,0.010335446083827181,-12.633185206693376,1.4887799273490325e-36,-0.15082698028526134,-0.11031222885630373
log_user_score,0.02574561357670148,0.08689834681491562,0.2962727660577587,0.767022468959115,-0.14457431708902785,0.19606554424243078
log_positive,0.6490813423262667,0.007780125967179119,83.42812765043283,0.0,0.6338323696602741,0.6643303149922593
log_negative,0.14026951484398553,0.009411204242190184,14.904523505627573,3.53822131320741e-50,0.12182364432098361,0.15871538536698745
log_average_playtime_forever,-0.015882289773610225,0.006247240517970268,-2.5422888278312024,0.011014580785421998,-0.028126821584314315,-0.003637757962906135
log_average_playtime_2weeks,0.08972500268106894,0.01921567531534545,4.66936504747327,3.0256919056914553e-06,0.05206246239850693,0.12738754296363095
log_peak_ccu,-0.2693184544959824,0.009363473374195318,-28.76266570460849,4.2154484623615444e-181,-0.2876707729731115,-0.2509661360188533
